tau_carbon_memory_myr,tau_regolith_recovery_myr,regolith_erosion_rate,bedrock_ice_gain,delta10_temperature_k,delta200_temperature_k,ablated10_temperature_k,delta10_ice_fraction,delta200_ice_fraction,ablated10_ice_fraction,delta10_co2_ppm,delta200_co2_ppm,ablated10_co2_ppm,delta10_productivity,delta200_productivity,ablated10_productivity
4.47213595499958,736.8062997280774,0.03,0.5,0.009691811496413072,1.5155032286884307e-06,7.862927198232228e-09,0.0002862804461398194,5.414803628256415e-07,2.773858920335215e-11,2.2513098118026846,0.0001453738575492025,1.695833191206475e-06,0.0015020500686102611,2.801565162913189e-07,1.1308683156574517e-09
4.47213595499958,1213.9244620058346,0.03,0.5,0.00964773853843548,1.69970610586212e-06,7.862927198232228e-09,0.00029085775797765834,6.069668339048206e-07,2.773858920335215e-11,2.235266245118595,0.00016269988520889456,1.695833191206475e-06,0.0014957379259619985,3.141713988130679e-07,1.1308683156574517e-09
4.47213595499958,2000.0,0.03,0.5,0.009620439041520878,1.8216618953292851e-06,7.862927198232228e-09,0.0002936248889593429,6.503049516104475e-07,2.773858920335215e-11,2.2253960562225075,0.00017415136628073924,1.695833191206475e-06,0.0014918220906315893,3.3668955884413876e-07,1.1308683156574517e-09
7.368062997280774,5.0,0.03,0.5,0.032827747949783825,0.0,7.862927198232228e-09,0.00011353115995188512,0.0,2.773858920335215e-11,8.305482564031621,0.0,1.695833191206475e-06,0.004935198924615469,2.220446049250313e-16,1.1308683156574517e-09
7.368062997280774,8.237744862210329,0.03,0.5,0.032620127721818326,8.881784197001252e-16,7.862927198232228e-09,9.612290254268352e-05,0.0,2.773858920335215e-11,8.270066036717878,1.7053025658242404e-13,1.695833191206475e-06,0.004901995371139306,5.551115123125783e-17,1.1308683156574517e-09
7.368062997280774,13.572088082974531,0.03,0.5,0.03209792516621035,1.1102230246251565e-13,7.862927198232228e-09,8.521145125989227e-05,5.972999872483342e-14,2.773858920335215e-11,8.14852996692602,3.211653165635653e-11,1.695833191206475e-06,0.004822486769912038,2.1871393585115584e-14,1.1308683156574517e-09
7.368062997280774,22.360679774997894,0.03,0.5,0.03118171329717878,1.1065592886438935e-11,7.862927198232228e-09,0.00010338162095779868,4.601818925920043e-12,2.773858920335215e-11,7.89864420185873,1.7244872196897632e-09,1.695833191206475e-06,0.004686901648148917,2.1068702338311596e-12,1.1308683156574517e-09
7.368062997280774,36.84031498640386,0.03,0.5,0.030007216978728213,3.0410531870472823e-09,7.862927198232228e-09,0.00014936056169012613,1.1793366283541218e-09,2.773858920335215e-11,7.557125018420891,3.8678479086229345e-07,1.695833191206475e-06,0.004515315918189267,5.710435735384323e-10,1.1308683156574517e-09
7.368062997280774,60.696223100291725,0.03,0.5,0.02882419896392041,4.511269602325285e-08,7.862927198232228e-09,0.00020069413669959735,1.697495422003925e-08,2.773858920335215e-11,7.207519854282367,5.204422933502428e-06,1.695833191206475e-06,0.004343016484181728,8.4216170426199e-09,1.1308683156574517e-09
7.368062997280774,100.0,0.03,0.5,0.02782627902807322,2.1102824221408412e-07,7.862927198232228e-09,0.0002414606726862667,7.820003955494315e-08,2.773858920335215e-11,6.914550279030266,2.3105924782385046e-05,1.695833191206475e-06,0.004197428134210979,3.927728309260914e-08,1.1308683156574517e-09
7.368062997280774,164.75489724420657,0.03,0.5,0.027080304811833766,5.208693447666946e-07,7.862927198232228e-09,0.0002689143200819699,1.9140426998909277e-07,2.773858920335215e-11,6.6983152949437965,5.537075600159369e-05,1.695833191206475e-06,0.004088318205513919,9.678616741393142e-08,1.1308683156574517e-09
7.368062997280774,271.4417616594907,0.03,0.5,0.02656528048321971,8.892596639054062e-07,7.862927198232228e-09,0.0002860922756162121,3.252125679864548e-07,2.773858920335215e-11,6.5506679965625665,9.292018756923426e-05,1.695833191206475e-06,0.004012823943983723,1.6508219055633155e-07,1.1308683156574517e-09
7.368062997280774,447.213595499958,0.03,0.5,0.02622703858401043,1.223511001846589e-06,7.862927198232228e-09,0.0002965422958262076,4.461960402268872e-07,2.773858920335215e-11,6.454471918329006,0.00012655153037144373,1.695833191206475e-06,0.003963166104468924,2.2700543286791053e-07,1.1308683156574517e-09
