panel,group,row_label,replicate_index,value,source_file
Rhodamine B,after resuspending,570.0,33,6419.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,34,6081.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,35,3368.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,36,6799.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,37,6542.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,38,4318.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,39,2997.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,40,5355.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,41,6134.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,42,6758.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,43,6493.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,44,7263.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,45,5940.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,46,3400.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,47,3087.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,48,5334.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,1,2816.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,2,3781.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,3,15204.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,4,2163.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,5,3831.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,6,4901.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,7,2425.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,8,8293.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,9,3474.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,10,4520.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,11,11061.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,12,9482.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,13,2856.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,14,2710.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,15,2044.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,16,4699.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,17,6303.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,18,7495.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,19,2726.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,20,2235.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,21,6249.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,22,9088.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,23,2223.0,Fig3-data.xlsx
Rhodamine B,before resuspending,575.0,24,2159.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,25,2369.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,26,3395.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,27,3142.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,28,2630.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,29,3533.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,30,3027.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,31,5913.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,32,7506.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,33,7544.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,34,7065.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,35,3909.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,36,7962.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,37,7678.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,38,4982.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,39,3478.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,40,6169.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,41,7137.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,42,7921.0,Fig3-data.xlsx
