obliquity_deg,eccentricity,temperature,ice,co2,regolith,memory,direction,mode
40.0,0.08,0.07506621901296079,0.00013167629379645234,278.1147069337345,0.8,0.4,reverse,classic
40.0,0.09,0.1082997083300831,7.676785271542425e-05,277.2841047316198,0.8,0.4,reverse,classic
40.0,0.1,0.14544962553310606,4.3726179125344346e-05,276.3585555393306,0.8,0.4,reverse,classic
40.0,0.11,0.18657749650794228,2.4312732750070476e-05,275.3375029112136,0.8,0.4,reverse,classic
40.0,0.12,0.23173914158087963,1.3185029633278446e-05,274.22065168418146,0.8,0.4,reverse,classic
40.0,0.13,0.28098786064860987,6.967714582621798e-06,273.0078899575851,0.8,0.4,reverse,classic
40.0,0.14,0.33437676273773714,3.584654203326323e-06,271.6992332882835,0.8,0.4,reverse,classic
40.0,0.15,0.391960434890482,1.79355204778665e-06,270.2947861651187,0.8,0.4,reverse,classic
40.0,0.16,0.45379612132146896,8.718195731418213e-07,268.7947164119629,0.8,0.4,reverse,classic
40.0,0.17,0.5199445546333459,4.112377444810324e-07,267.1992389058662,0.8,0.4,reverse,classic
40.0,0.18,0.5904705508350954,1.8801403342957283e-07,265.5086057676291,0.8,0.4,reverse,classic
40.0,0.19,0.6654434522029218,8.320756217030266e-08,263.72310089756047,0.8,0.4,reverse,classic
40.0,0.2,0.744937478531188,3.559749634983167e-08,261.84303733766376,0.8,0.4,reverse,classic
40.0,0.0,-0.42908626902714964,0.012554031798584933,228.34741752238685,0.8808814320345124,0.90426250398696,forward,M2
40.0,0.01,-0.41302060045719546,0.007457474887088167,227.5633256453714,0.9265350087633138,0.9075634158774429,forward,M2
40.0,0.02,-0.3995829174730695,0.004609946222391818,226.99707808617467,0.9543035239086904,0.9096946698202472,forward,M2
40.0,0.03,-0.38569584826433045,0.0028937964735770453,226.48049093632383,0.9713367003481935,0.9114068970150493,forward,M2
40.0,0.04,-0.3699700951699256,0.001818369651588214,225.94466369486804,0.9819548509480592,0.9129951298785218,forward,M2
40.0,0.05,-0.3516830189889325,0.0011341672481362413,225.35600142570277,0.9886621809859275,0.9145996894475117,forward,M2
40.0,0.06,-0.33040458887565105,0.0006985438782441656,224.69666078646628,0.9929263280507704,0.9162912552375888,forward,M2
40.0,0.07,-0.3058510403800617,0.0004233888457942321,223.95703429891557,0.9956351844235369,0.9181033427664048,forward,M2
40.0,0.08,-0.27781957056987183,0.00025191399244532686,223.1324607337476,0.9973443595949073,0.9200463296403968,forward,M2
40.0,0.09,-0.24615490868168743,0.00014686574755480767,222.22157628809896,0.9984105075280908,0.9221143164081237,forward,M2
40.0,0.1,-0.21072993675181692,8.376852066503145e-05,221.2253819986564,0.9990657277283195,0.9242888465886222,forward,M2
40.0,0.11,-0.17143331854723898,4.668286630822425e-05,220.14666798251199,0.999461458228175,0.9265410433910594,forward,M2
40.0,0.12,-0.1281610729603724,2.5387688700479965e-05,218.98964077454917,0.9996959006026694,0.928832825436712,forward,M2
40.0,0.13,-0.08081060139990633,1.3457750022663739e-05,217.75967999358323,0.9998319414520833,0.9311175170887168,forward,M2
40.0,0.14,-0.029276347220770254,6.945501515228382e-06,216.46318383349535,0.9999091740140998,0.9333400256308199,forward,M2
40.0,0.15,0.026553425033832567,3.4858215054725454e-06,215.1074779448413,0.9999520307202219,0.9354366934151788,forward,M2
